mid,balance,leverage,trades
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71271.25,0.99931824,3.1624532,913.0
71267.25,0.99949557,3.1618922,913.0
71267.25,0.99971294,1.7990701,1099.0
71247.75,1.0002052,1.7981849,1099.0
71247.75,1.0000066,0.057241444,1256.0
71247.75,1.0000066,0.057241444,1256.0
71247.75,1.0000066,0.057241444,1256.0
71247.75,1.0000066,0.057241444,1256.0
71247.75,1.0000066,0.057241444,1256.0
71231.25,1.0000198,0.057240684,1256.0
71231.25,0.9998208,2.738045,1548.0
71207.25,0.9988981,2.7405744,1548.0
71207.25,0.99875104,3.2096267,1567.0
71207.25,0.99875104,3.2096267,1567.0
71207.25,0.99875104,3.2096267,1567.0
71207.25,0.99875104,3.2096267,1567.0
71207.25,0.99875104,3.2096267,1567.0
71207.25,0.99875104,3.2096267,1567.0
71207.25,0.99875104,3.2096267,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
71207.75,0.9987736,3.2095544,1567.0
